"Step","avid-monkey-10 - global_step","avid-monkey-10 - global_step__MIN","avid-monkey-10 - global_step__MAX","rose-cosmos-9 - global_step","rose-cosmos-9 - global_step__MIN","rose-cosmos-9 - global_step__MAX","noble-bee-8 - global_step","noble-bee-8 - global_step__MIN","noble-bee-8 - global_step__MAX","ruby-bee-6 - global_step","ruby-bee-6 - global_step__MIN","ruby-bee-6 - global_step__MAX","eager-snow-5 - global_step","eager-snow-5 - global_step__MIN","eager-snow-5 - global_step__MAX","comfy-terrain-4 - global_step","comfy-terrain-4 - global_step__MIN","comfy-terrain-4 - global_step__MAX","jumping-dew-3 - global_step","jumping-dew-3 - global_step__MIN","jumping-dew-3 - global_step__MAX","solar-fire-2 - global_step","solar-fire-2 - global_step__MIN","solar-fire-2 - global_step__MAX"
"138","17000","17000","17000","6500","6500","6500","15000","15000","15000","7535","7535","7535","","","","8970","8970","8970","","","","9295","9295","9295"
"139","18000","18000","18000","6500","6500","6500","15000","15000","15000","","","","","","","9000","9000","9000","7000","7000","7000","9295","9295","9295"
"140","18000","18000","18000","","","","15000","15000","15000","","","","","","","","","","","","","","",""
"141","18000","18000","18000","6500","6500","6500","15000","15000","15000","","","","","","","","","","","","","","",""
"142","18432","18432","18432","","","","15000","15000","15000","","","","7000","7000","7000","","","","7000","7000","7000","9295","9295","9295"
"143","18432","18432","18432","","","","16000","16000","16000","","","","","","","9000","9000","9000","7000","7000","7000","9295","9295","9295"
"144","18432","18432","18432","6500","6500","6500","16000","16000","16000","7535","7535","7535","","","","9000","9000","9000","","","","","",""
"145","18432","18432","18432","","","","16000","16000","16000","","","","","","","9686","9686","9686","","","","10000","10000","10000"
"146","19000","19000","19000","","","","16384","16384","16384","","","","","","","9686","9686","9686","","","","","",""
"147","19000","19000","19000","","","","16384","16384","16384","8000","8000","8000","","","","","","","","","","10000","10000","10000"
"148","19000","19000","19000","7000","7000","7000","16384","16384","16384","8000","8000","8000","","","","","","","","","","10000","10000","10000"
"149","19000","19000","19000","","","","16384","16384","16384","8000","8000","8000","","","","","","","7593","7593","7593","10000","10000","10000"
"150","19000","19000","19000","7000","7000","7000","17000","17000","17000","","","","","","","9686","9686","9686","","","","10000","10000","10000"
"151","19000","19000","19000","","","","17000","17000","17000","8000","8000","8000","","","","9686","9686","9686","","","","10027","10027","10027"
"152","19000","19000","19000","7000","7000","7000","17000","17000","17000","8000","8000","8000","7599","7599","7599","10000","10000","10000","","","","10027","10027","10027"
"153","19000","19000","19000","","","","17000","17000","17000","8000","8000","8000","","","","10000","10000","10000","","","","10027","10027","10027"
"154","19000","19000","19000","","","","17000","17000","17000","","","","","","","10000","10000","10000","","","","10027","10027","10027"
"155","19000","19000","19000","7000","7000","7000","17000","17000","17000","","","","8000","8000","8000","","","","8000","8000","8000","","",""
"156","20000","20000","20000","","","","17000","17000","17000","","","","","","","10000","10000","10000","","","","10027","10027","10027"
"157","20000","20000","20000","","","","17000","17000","17000","","","","","","","10000","10000","10000","8000","8000","8000","10027","10027","10027"
"158","20000","20000","20000","","","","17000","17000","17000","","","","8000","8000","8000","","","","","","","10645","10645","10645"
"159","20480","20480","20480","","","","17000","17000","17000","","","","","","","10072","10072","10072","","","","10645","10645","10645"
"160","20480","20480","20480","7000","7000","7000","17000","17000","17000","","","","","","","","","","","","","10645","10645","10645"
"161","20480","20480","20480","","","","17000","17000","17000","8371","8371","8371","","","","10072","10072","10072","","","","10645","10645","10645"
"162","20480","20480","20480","7500","7500","7500","17000","17000","17000","8371","8371","8371","","","","","","","8000","8000","8000","10645","10645","10645"
"163","21000","21000","21000","7500","7500","7500","18000","18000","18000","","","","","","","10072","10072","10072","","","","10645","10645","10645"
"164","21000","21000","21000","","","","18000","18000","18000","","","","","","","","","","","","","10645","10645","10645"
"165","21000","21000","21000","7500","7500","7500","18000","18000","18000","9000","9000","9000","","","","10798","10798","10798","","","","","",""
"166","21000","21000","21000","","","","18432","18432","18432","","","","","","","10798","10798","10798","8254","8254","8254","11000","11000","11000"
"167","21000","21000","21000","","","","18432","18432","18432","","","","","","","10798","10798","10798","","","","","",""
"168","21000","21000","21000","","","","18432","18432","18432","","","","","","","","","","8254","8254","8254","11000","11000","11000"
"169","21000","21000","21000","7500","7500","7500","18432","18432","18432","","","","","","","10798","10798","10798","","","","11000","11000","11000"
"170","21000","21000","21000","","","","19000","19000","19000","","","","8218","8218","8218","10798","10798","10798","","","","11000","11000","11000"
"171","21000","21000","21000","","","","19000","19000","19000","9012","9012","9012","","","","10798","10798","10798","","","","11302","11302","11302"
"172","21000","21000","21000","8000","8000","8000","19000","19000","19000","","","","","","","","","","","","","","",""
"173","22000","22000","22000","","","","19000","19000","19000","","","","","","","","","","9000","9000","9000","","",""
"174","22000","22000","22000","8000","8000","8000","19000","19000","19000","9012","9012","9012","","","","11000","11000","11000","","","","11302","11302","11302"
"175","22000","22000","22000","","","","19000","19000","19000","9012","9012","9012","8823","8823","8823","","","","","","","11302","11302","11302"
"176","22528","22528","22528","","","","19000","19000","19000","9012","9012","9012","","","","","","","","","","11302","11302","11302"
"177","22528","22528","22528","","","","19000","19000","19000","9012","9012","9012","","","","11000","11000","11000","","","","11302","11302","11302"
"178","22528","22528","22528","8000","8000","8000","19000","19000","19000","","","","","","","11442","11442","11442","","","","","",""
"179","22528","22528","22528","8000","8000","8000","19000","19000","19000","","","","","","","11442","11442","11442","","","","12000","12000","12000"
"180","23000","23000","23000","8000","8000","8000","19000","19000","19000","","","","","","","","","","","","","","",""
"181","23000","23000","23000","","","","19000","19000","19000","","","","","","","11442","11442","11442","9088","9088","9088","12000","12000","12000"
"182","23000","23000","23000","8000","8000","8000","19000","19000","19000","9437","9437","9437","","","","","","","","","","","",""
"183","23000","23000","23000","8000","8000","8000","20000","20000","20000","9437","9437","9437","","","","11442","11442","11442","","","","","",""
"184","23000","23000","23000","8500","8500","8500","20000","20000","20000","9437","9437","9437","","","","","","","","","","","",""
"185","23000","23000","23000","","","","20000","20000","20000","9437","9437","9437","","","","","","","9088","9088","9088","12144","12144","12144"
"186","23000","23000","23000","8500","8500","8500","20480","20480","20480","","","","9000","9000","9000","","","","","","","","",""
"187","23000","23000","23000","","","","20480","20480","20480","","","","","","","12000","12000","12000","9088","9088","9088","","",""
"188","23000","23000","23000","8500","8500","8500","20480","20480","20480","","","","","","","","","","","","","12144","12144","12144"
"189","23000","23000","23000","","","","20480","20480","20480","10000","10000","10000","","","","12000","12000","12000","","","","12144","12144","12144"
"190","24000","24000","24000","8500","8500","8500","21000","21000","21000","","","","9581","9581","9581","","","","","","","12144","12144","12144"
"191","24000","24000","24000","8500","8500","8500","21000","21000","21000","10000","10000","10000","","","","","","","9547","9547","9547","12891","12891","12891"
"192","24000","24000","24000","","","","21000","21000","21000","","","","","","","","","","","","","","",""
"193","24576","24576","24576","8500","8500","8500","21000","21000","21000","","","","","","","12188","12188","12188","","","","12891","12891","12891"
"194","24576","24576","24576","","","","21000","21000","21000","","","","","","","","","","","","","12891","12891","12891"
"195","24576","24576","24576","9000","9000","9000","21000","21000","21000","","","","","","","12188","12188","12188","","","","","",""
"196","24576","24576","24576","","","","21000","21000","21000","10000","10000","10000","9581","9581","9581","12188","12188","12188","","","","12891","12891","12891"
